Date,Open,High,Low,Close,Adj Close,Volume
08/05/2016,175.0,177.5,174.0,177.0,144.31414794921875,"25,759,000"
08/08/2016,178.0,178.0,176.5,178.0,145.12948608398438,"16,200,000"
08/09/2016,178.5,179.5,177.0,178.5,145.53713989257812,"16,413,000"
08/10/2016,179.0,179.5,178.0,179.5,146.3524932861328,"19,279,000"
08/11/2016,177.5,178.0,175.5,176.5,143.90647888183594,"28,180,000"
08/12/2016,178.5,178.5,177.0,177.5,144.72181701660156,"22,947,000"
08/15/2016,178.5,179.0,177.5,179.0,145.94479370117188,"12,020,000"
08/16/2016,178.0,179.0,175.0,175.5,143.09115600585938,"34,260,000"
08/17/2016,177.0,177.5,176.0,177.0,144.31414794921875,"21,487,000"
08/18/2016,176.0,176.5,175.0,176.0,143.4988250732422,"27,253,000"
08/19/2016,177.0,177.5,174.0,174.5,142.27581787109375,"23,470,000"
08/22/2016,173.0,174.0,171.5,172.5,140.64512634277344,"21,337,000"
08/23/2016,174.0,175.0,173.5,175.0,142.68350219726562,"20,888,000"
08/24/2016,175.0,175.5,173.5,173.5,141.46044921875,"12,092,000"
08/25/2016,175.0,177.0,174.5,176.5,143.90647888183594,"23,892,000"
08/26/2016,175.0,177.0,175.0,177.0,144.31414794921875,"15,076,000"
08/29/2016,175.0,177.0,174.0,176.0,143.4988250732422,"16,975,000"
08/30/2016,176.0,176.5,174.0,174.0,141.8681640625,"19,471,000"
08/31/2016,176.5,177.0,174.5,176.5,143.90647888183594,"38,524,000"
09/01/2016,176.0,176.0,173.0,174.0,141.8681640625,"22,692,000"
09/02/2016,176.5,176.5,174.0,174.0,141.8681640625,"16,999,000"
09/05/2016,176.5,177.5,176.5,177.0,144.31414794921875,"22,381,000"
09/06/2016,177.0,179.0,176.5,178.0,145.12948608398438,"26,024,000"
09/07/2016,180.5,185.0,180.0,185.0,150.83680725097656,"49,761,000"
09/08/2016,182.5,184.5,182.5,183.0,149.20614624023438,"30,204,000"
09/09/2016,181.0,181.0,179.5,180.5,147.16781616210938,"29,793,000"
09/12/2016,177.5,177.5,174.0,175.5,143.09115600585938,"43,036,000"
09/13/2016,176.5,176.5,173.5,175.5,143.09115600585938,"36,834,000"
09/14/2016,174.0,176.0,173.5,174.0,141.8681640625,"52,877,000"
09/19/2016,179.5,183.0,178.5,183.0,149.20614624023438,"57,055,000"
09/20/2016,182.0,183.5,181.5,183.5,149.61383056640625,"23,641,000"
09/21/2016,181.0,184.0,180.5,184.0,150.02149963378906,"25,008,000"
09/22/2016,185.0,185.5,183.5,185.0,150.83680725097656,"20,980,000"
09/23/2016,185.0,187.5,184.5,187.0,152.4674835205078,"23,213,000"
09/26/2016,183.5,185.0,183.0,183.5,149.61383056640625,"24,225,000"
09/27/2016,183.5,183.5,183.5,183.5,149.61383056640625,0
09/28/2016,183.5,183.5,183.5,183.5,149.61383056640625,0
09/29/2016,185.5,187.5,185.5,187.0,152.4674835205078,"54,272,000"
09/30/2016,185.5,186.5,182.5,184.0,150.02149963378906,"42,592,000"
10/03/2016,186.0,186.5,184.5,186.0,151.6521453857422,"17,742,000"
10/04/2016,185.0,187.0,185.0,187.0,152.4674835205078,"16,859,000"
10/05/2016,186.0,186.0,184.5,186.0,151.6521453857422,"19,148,000"
10/06/2016,185.0,187.5,185.0,187.5,152.8751678466797,"15,524,000"
10/07/2016,188.0,188.0,186.0,188.0,153.2827911376953,"15,380,000"
10/11/2016,191.0,191.0,186.0,187.5,152.8751678466797,"30,294,000"
10/12/2016,186.5,190.0,186.0,189.5,154.50584411621094,"22,604,000"
10/13/2016,190.5,191.0,187.0,188.5,153.6905059814453,"37,642,000"
10/14/2016,187.0,189.0,186.5,188.0,153.2827911376953,"33,248,000"
10/17/2016,186.5,187.5,185.0,186.5,152.059814453125,"37,340,000"
10/18/2016,186.5,187.0,185.5,187.0,152.4674835205078,"38,150,000"
10/19/2016,187.5,189.5,187.5,189.5,154.50584411621094,"33,272,000"
10/20/2016,189.5,190.5,189.0,190.5,155.32113647460938,"13,226,000"
10/21/2016,191.0,192.0,188.5,188.5,153.6905059814453,"21,936,000"
10/24/2016,191.0,191.0,189.5,191.0,155.72882080078125,"13,459,000"
10/25/2016,192.0,193.0,191.0,193.0,157.35946655273438,"18,878,000"
10/26/2016,190.5,192.5,190.5,191.5,156.136474609375,"21,043,000"
10/27/2016,191.5,191.5,188.5,188.5,153.6905059814453,"26,231,000"
10/28/2016,189.5,190.0,188.5,189.5,154.50584411621094,"24,348,000"
10/31/2016,189.0,190.5,186.5,188.5,153.6905059814453,"25,330,000"
11/01/2016,188.5,189.5,187.5,189.5,154.50584411621094,"14,290,000"
11/02/2016,187.5,188.0,186.0,186.0,151.6521453857422,"16,488,000"
11/03/2016,185.5,186.5,184.5,184.5,150.42913818359375,"25,038,000"
11/04/2016,184.5,186.0,184.0,184.5,150.42913818359375,"14,860,000"
11/07/2016,186.5,189.0,186.0,189.0,154.09817504882812,"21,332,000"
11/08/2016,190.0,190.0,188.0,188.5,153.6905059814453,"15,437,000"
11/09/2016,190.0,190.5,182.0,182.0,148.39080810546875,"55,541,000"
11/10/2016,187.0,188.0,185.5,185.5,151.2444610595703,"38,234,000"
11/11/2016,181.5,183.0,181.0,181.5,147.98312377929688,"67,603,000"
11/14/2016,181.0,182.0,180.0,180.5,147.16781616210938,"47,989,000"
11/15/2016,179.5,182.0,179.0,180.0,146.76014709472656,"33,505,000"
11/16/2016,180.5,183.0,180.0,180.0,146.76014709472656,"34,833,000"
11/17/2016,182.0,182.5,180.5,181.5,147.98312377929688,"22,434,000"
11/18/2016,181.5,181.5,180.0,181.0,147.57545471191406,"22,474,000"
11/21/2016,180.5,181.5,180.0,181.0,147.57545471191406,"15,600,000"
11/22/2016,182.0,185.0,181.5,184.0,150.02149963378906,"27,599,000"
11/23/2016,184.5,186.5,184.0,185.5,151.2444610595703,"22,128,000"
11/24/2016,184.0,185.0,183.0,183.0,149.20614624023438,"14,980,000"
11/25/2016,182.5,183.5,182.0,182.0,148.39080810546875,"10,116,000"
11/28/2016,181.5,184.0,181.5,184.0,150.02149963378906,"19,096,000"
11/29/2016,183.5,185.0,182.0,182.0,148.39080810546875,"24,408,000"
11/30/2016,181.5,183.0,181.5,183.0,149.20614624023438,"39,671,000"
12/01/2016,182.0,183.0,181.5,183.0,149.20614624023438,"13,908,000"
12/02/2016,179.0,179.5,178.0,178.0,145.12948608398438,"53,836,000"
12/05/2016,178.0,180.0,178.0,179.0,145.94479370117188,"29,191,000"
12/06/2016,181.0,183.0,180.5,182.0,148.39080810546875,"27,309,000"
12/07/2016,183.0,183.5,181.5,181.5,147.98312377929688,"14,110,000"
12/08/2016,184.0,185.5,183.0,185.5,151.2444610595703,"27,257,000"
12/09/2016,186.0,186.0,184.5,186.0,151.6521453857422,"24,867,000"
12/12/2016,186.0,187.0,184.0,185.0,150.83680725097656,"18,796,000"
12/13/2016,186.5,186.5,184.5,186.0,151.6521453857422,"23,591,000"
12/14/2016,186.5,187.5,185.5,187.5,152.8751678466797,"16,571,000"
12/15/2016,185.0,187.5,184.5,187.0,152.4674835205078,"22,803,000"
12/16/2016,185.5,187.0,185.0,185.0,150.83680725097656,"35,985,000"
12/19/2016,184.0,184.5,182.5,182.5,148.79847717285156,"20,535,000"
12/20/2016,181.0,182.5,180.0,182.5,148.79847717285156,"24,139,000"
12/21/2016,181.0,182.0,180.0,180.0,146.76014709472656,"29,690,000"
12/22/2016,180.0,180.5,179.0,179.0,145.94479370117188,"26,269,000"
12/23/2016,179.0,180.0,178.5,178.5,145.53713989257812,"22,961,000"
12/26/2016,179.0,180.0,179.0,179.5,146.3524932861328,"5,675,000"
12/27/2016,180.0,180.5,179.5,180.0,146.76014709472656,"8,252,000"
12/28/2016,181.0,182.0,180.5,182.0,148.39080810546875,"21,226,000"
12/29/2016,180.0,181.5,180.0,180.0,146.76014709472656,"30,200,000"
12/30/2016,181.0,182.5,180.0,181.5,147.98312377929688,"36,610,000"
01/03/2017,181.5,183.5,181.0,183.0,149.20614624023438,"22,630,000"
01/04/2017,183.0,184.0,181.5,183.0,149.20614624023438,"24,369,000"
01/05/2017,182.0,183.5,181.5,183.5,149.61383056640625,"20,979,000"
01/06/2017,184.0,184.5,183.5,184.0,150.02149963378906,"22,443,000"
01/09/2017,184.0,185.0,183.0,184.0,150.02149963378906,"18,569,000"
01/10/2017,184.5,185.5,183.5,184.0,150.02149963378906,"20,198,000"
01/11/2017,185.0,185.0,181.5,182.0,148.39080810546875,"29,107,000"
01/12/2017,182.5,185.5,182.5,184.5,150.42913818359375,"41,130,000"
01/13/2017,180.5,182.5,180.5,181.5,147.98312377929688,"52,352,000"
01/16/2017,180.0,180.5,179.0,179.5,146.3524932861328,"30,756,000"
01/17/2017,180.5,181.0,179.5,181.0,147.57545471191406,"13,159,000"
01/18/2017,180.5,181.0,179.5,181.0,147.57545471191406,"23,693,000"
01/19/2017,179.5,181.0,179.5,180.5,147.16781616210938,"24,627,000"
01/20/2017,181.0,181.5,180.5,181.0,147.57545471191406,"23,429,000"
01/23/2017,182.5,185.0,182.5,185.0,150.83680725097656,"36,992,000"
01/24/2017,185.0,186.5,184.5,185.5,151.2444610595703,"55,022,000"
02/02/2017,188.0,188.5,184.0,184.5,150.42913818359375,"94,089,000"
02/03/2017,186.0,186.0,183.5,184.5,150.42913818359375,"29,518,000"
02/06/2017,184.5,185.5,184.0,184.5,150.42913818359375,"24,779,000"
02/07/2017,183.5,185.0,183.0,184.5,150.42913818359375,"23,616,000"
02/08/2017,183.5,184.5,183.0,183.5,149.61383056640625,"29,168,000"
02/09/2017,184.0,185.5,183.5,184.0,150.02149963378906,"18,967,000"
02/10/2017,184.5,185.5,184.0,185.5,151.2444610595703,"34,747,000"
02/13/2017,186.5,188.0,186.5,187.5,152.8751678466797,"25,124,000"
02/14/2017,189.0,190.0,187.5,187.5,152.8751678466797,"45,696,000"
02/15/2017,187.0,189.5,186.5,189.0,154.09817504882812,"39,347,000"
02/16/2017,190.0,190.5,188.0,189.0,154.09817504882812,"27,018,000"
02/17/2017,190.0,190.5,189.0,189.5,154.50584411621094,"20,389,000"
02/20/2017,190.0,190.5,189.5,190.0,154.91348266601562,"13,254,000"
02/21/2017,190.0,190.0,188.5,190.0,154.91348266601562,"31,159,000"
02/22/2017,190.5,191.0,188.5,188.5,153.6905059814453,"25,677,000"
02/23/2017,188.0,189.5,187.0,188.5,153.6905059814453,"35,725,000"
02/24/2017,187.5,190.5,187.5,189.0,154.09817504882812,"22,766,000"
03/01/2017,188.5,188.5,186.0,186.0,151.6521453857422,"46,186,000"
03/02/2017,188.0,188.5,185.0,186.0,151.6521453857422,"39,980,000"
03/03/2017,184.5,185.0,184.0,184.0,150.02149963378906,"28,197,000"
03/06/2017,184.0,184.5,183.5,183.5,149.61383056640625,"12,531,000"
03/07/2017,184.0,185.5,184.0,185.5,151.2444610595703,"18,812,000"
03/08/2017,186.0,188.0,185.5,187.0,152.4674835205078,"31,791,000"
03/09/2017,185.5,186.0,184.0,184.5,150.42913818359375,"28,489,000"
03/10/2017,184.0,184.5,183.0,183.5,149.61383056640625,"20,053,000"
03/13/2017,185.0,186.5,185.0,186.5,152.059814453125,"10,487,000"
03/14/2017,188.0,188.0,186.0,186.0,151.6521453857422,"22,245,000"
03/15/2017,185.5,187.0,185.5,186.5,152.059814453125,"14,131,000"
03/16/2017,188.0,190.0,188.0,190.0,154.91348266601562,"31,507,000"
03/17/2017,189.5,191.5,189.0,191.5,156.136474609375,"33,764,000"
03/20/2017,191.5,191.5,189.5,191.5,156.136474609375,"16,215,000"
03/21/2017,192.0,195.0,191.5,195.0,158.9901885986328,"32,246,000"
03/22/2017,192.5,193.5,191.5,193.5,157.76715087890625,"27,396,000"
03/23/2017,192.0,193.5,192.0,193.5,157.76715087890625,"18,472,000"
03/24/2017,192.0,193.0,192.0,192.5,156.95184326171875,"17,541,000"
03/27/2017,194.5,194.5,192.0,193.0,157.35946655273438,"29,251,000"
03/28/2017,195.0,195.0,192.5,194.5,158.58251953125,"38,259,000"
03/29/2017,194.5,194.5,191.0,191.5,156.136474609375,"33,374,000"
03/30/2017,192.5,193.0,190.5,191.5,156.136474609375,"28,302,000"
03/31/2017,191.0,192.0,189.0,189.0,154.09817504882812,"33,635,000"
04/05/2017,189.5,193.0,189.5,193.0,157.35946655273438,"43,748,000"
04/06/2017,193.0,193.0,191.0,191.5,156.136474609375,"16,173,000"
04/07/2017,192.0,192.0,188.5,191.0,155.72882080078125,"18,911,000"
04/10/2017,191.0,191.5,189.5,190.0,154.91348266601562,"17,024,000"
04/11/2017,190.0,191.0,189.0,191.0,155.72882080078125,"8,441,000"
04/12/2017,190.5,191.5,190.0,191.0,155.72882080078125,"17,283,000"
04/13/2017,189.5,192.0,189.5,191.5,156.136474609375,"14,771,000"
04/14/2017,189.5,189.5,188.0,189.0,154.09817504882812,"30,701,000"
04/17/2017,189.0,189.0,187.5,187.5,152.8751678466797,"17,096,000"
04/18/2017,188.0,189.5,187.5,188.0,153.2827911376953,"25,063,000"
04/19/2017,187.5,187.5,186.5,186.5,152.059814453125,"30,477,000"
04/20/2017,186.5,188.0,186.5,187.0,152.4674835205078,"21,488,000"
04/21/2017,187.5,190.0,187.5,190.0,154.91348266601562,"17,373,000"
04/24/2017,191.0,191.5,188.5,190.0,154.91348266601562,"19,317,000"
04/25/2017,190.5,192.0,189.5,192.0,156.54415893554688,"31,932,000"
04/26/2017,192.0,192.0,190.5,191.0,155.72882080078125,"29,909,000"
04/27/2017,192.0,193.0,190.5,193.0,157.35946655273438,"27,940,000"
04/28/2017,193.5,194.5,193.0,194.5,158.58251953125,"34,852,000"
05/02/2017,198.5,199.0,195.5,196.5,160.21316528320312,"44,119,000"
05/03/2017,198.0,198.5,197.0,198.0,161.43617248535156,"25,723,000"
05/04/2017,198.5,199.0,197.0,198.0,161.43617248535156,"22,088,000"
05/05/2017,197.0,198.5,197.0,197.5,161.02850341796875,"17,036,000"
05/08/2017,199.0,202.5,199.0,202.5,165.1051788330078,"36,538,000"
05/09/2017,205.5,207.0,203.5,203.5,165.92054748535156,"48,077,000"
05/10/2017,204.0,206.0,204.0,205.5,167.5511474609375,"28,312,000"
05/11/2017,204.5,208.5,204.0,207.5,169.18182373046875,"43,718,000"
05/12/2017,205.0,207.0,205.0,206.0,167.95883178710938,"25,009,000"
